level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	4678	3307	-1	
2	1	1	0	0	0	3136	235	256	37	-1	
3	1	1	1	0	0	3136	235	256	37	-1	
4	1	1	1	1	0	3136	235	256	37	-1	
5	1	1	1	1	1	3136	235	256	37	96.376274	REVISIONS
2	1	2	0	0	0	3255	306	92	26	-1	
3	1	2	1	0	0	3255	306	92	26	-1	
4	1	2	1	1	0	3255	306	92	26	-1	
5	1	2	1	1	1	3255	306	92	26	96.644829	DATE
2	1	3	0	0	0	1932	312	71	26	-1	
3	1	3	1	0	0	1932	312	71	26	-1	
4	1	3	1	1	0	1932	312	71	26	-1	
5	1	3	1	1	1	1932	312	71	26	96.809067	REV
2	1	4	0	0	0	2542	333	242	26	-1	
3	1	4	1	0	0	2542	333	242	26	-1	
4	1	4	1	1	0	2542	333	242	26	-1	
5	1	4	1	1	1	2542	333	242	26	96.060463	DESCRIPTION
2	1	5	0	0	0	3523	329	198	26	-1	
3	1	5	1	0	0	3523	329	198	26	-1	
4	1	5	1	1	0	3523	329	198	26	-1	
5	1	5	1	1	1	3523	329	131	26	96.434822	DRAWN
5	1	5	1	1	2	3670	329	51	26	95.968681	BY:
2	1	6	0	0	0	3858	310	239	26	-1	
3	1	6	1	0	0	3858	310	239	26	-1	
4	1	6	1	1	0	3858	310	239	26	-1	
5	1	6	1	1	1	3858	310	173	26	96.561684	CHECKED
5	1	6	1	1	2	4046	310	51	26	96.220757	BY:
2	1	7	0	0	0	4186	333	266	26	-1	
3	1	7	1	0	0	4186	333	266	26	-1	
4	1	7	1	1	0	4186	333	266	26	-1	
5	1	7	1	1	1	4186	333	200	26	96.368393	APPROVED
5	1	7	1	1	2	4401	333	51	26	95.653900	BY:
2	1	8	0	0	0	1709	333	288	42	-1	
3	1	8	1	0	0	1709	333	288	42	-1	
4	1	8	1	1	0	1709	333	288	42	-1	
5	1	8	1	1	1	1709	333	179	26	91.502853	SHT/ZONE
5	1	8	1	1	2	1896	329	18	50	87.817909	|
5	1	8	1	1	3	1932	349	11	26	87.817909	|
5	1	8	1	1	4	1950	349	47	26	89.751549	TR
2	1	9	0	0	0	3177	358	255	31	-1	
3	1	9	1	0	0	3177	358	255	31	-1	
4	1	9	1	1	0	3177	358	255	31	-1	
5	1	9	1	1	1	3177	358	255	31	91.175293	(DD-MMM-YYYY)
2	1	10	0	0	0	3885	350	186	26	-1	
3	1	10	1	0	0	3885	350	186	26	-1	
4	1	10	1	1	0	3885	350	186	26	-1	
5	1	10	1	1	1	3885	350	186	26	96.082069	ENGINEER
2	1	11	0	0	0	3836	407	157	29	-1	
3	1	11	1	0	0	3836	407	157	29	-1	
4	1	11	1	1	0	3836	407	157	29	-1	
5	1	11	1	1	1	3836	407	73	29	96.331657	NUR
5	1	11	1	1	2	3922	407	71	29	96.602119	EKO
2	1	12	0	0	0	1766	425	65	26	-1	
3	1	12	1	0	0	1766	425	65	26	-1	
4	1	12	1	1	0	1766	425	65	26	-1	
5	1	12	1	1	1	1766	425	65	26	96.800827	ALL
2	1	13	0	0	0	1938	455	52	3	-1	
3	1	13	1	0	0	1938	455	52	3	-1	
4	1	13	1	1	0	1938	455	52	3	-1	
5	1	13	1	1	1	1938	455	52	3	54.278702	=
2	1	14	0	0	0	2038	427	833	35	-1	
3	1	14	1	0	0	2038	427	833	35	-1	
4	1	14	1	1	0	2038	427	833	35	-1	
5	1	14	1	1	1	2038	428	172	26	96.792953	ORIGINAL
5	1	14	1	1	2	2223	428	105	26	96.732422	ISSUE
5	1	14	1	1	3	2342	428	94	34	93.087921	(EWR
5	1	14	1	1	4	2450	435	3	19	92.530861	:
5	1	14	1	1	5	2470	427	401	35	91.641014	EYEng/EWR/0223/3812)
2	1	15	0	0	0	3199	427	203	27	-1	
3	1	15	1	0	0	3199	427	203	27	-1	
4	1	15	1	1	0	3199	427	203	27	-1	
5	1	15	1	1	1	3199	427	203	27	91.204376	27-FEB-2023
2	1	16	0	0	0	3479	420	286	29	-1	
3	1	16	1	0	0	3479	420	286	29	-1	
4	1	16	1	1	0	3479	420	286	29	-1	
5	1	16	1	1	1	3479	420	127	29	96.426926	RAMON
5	1	16	1	1	2	3620	420	145	29	96.174515	CASTRO
2	1	17	0	0	0	4175	427	261	27	-1	
3	1	17	1	0	0	4175	427	261	27	-1	
4	1	17	1	1	0	4175	427	261	27	-1	
5	1	17	1	1	1	4175	427	86	27	95.965340	PAUL
5	1	17	1	1	2	4273	427	163	27	95.965340	MORALES
2	1	18	0	0	0	3836	445	202	29	-1	
3	1	18	1	0	0	3836	445	202	29	-1	
4	1	18	1	1	0	3836	445	202	29	-1	
5	1	18	1	1	1	3836	445	202	29	90.225677	BUDIYANTO
2	1	19	0	0	0	3058	3021	578	23	-1	
3	1	19	1	0	0	3058	3021	578	23	-1	
4	1	19	1	1	0	3058	3021	578	23	-1	
5	1	19	1	1	1	3058	3021	329	23	91.572571	PLACARD
5	1	19	1	1	2	3219	3017	21	39	91.572571	/
5	1	19	1	1	3	3252	3021	135	23	96.371429	MARKING
5	1	19	1	1	4	3410	3021	152	23	95.924492	DRAWING
5	1	19	1	1	5	3584	3021	52	23	95.616402	NO.
2	1	20	0	0	0	4046	3022	135	23	-1	
3	1	20	1	0	0	4046	3022	135	23	-1	
4	1	20	1	1	0	4046	3022	135	23	-1	
5	1	20	1	1	1	4046	3022	63	23	93.514915	REV
5	1	20	1	1	2	4121	3022	60	23	93.514915	LTR
2	1	21	0	0	0	3542	3067	297	39	-1	
3	1	21	1	0	0	3542	3067	297	39	-1	
4	1	21	1	1	0	3542	3067	297	39	-1	
5	1	21	1	1	1	3542	3067	297	39	82.679550	A511351610
2	1	22	0	0	0	4093	3110	55	3	-1	
3	1	22	1	0	0	4093	3110	55	3	-1	
4	1	22	1	1	0	4093	3110	55	3	-1	
5	1	22	1	1	1	4093	3110	55	3	25.288002	ao
2	1	23	0	0	0	4230	3074	169	39	-1	
3	1	23	1	0	0	4230	3074	169	39	-1	
4	1	23	1	1	0	4230	3074	169	39	-1	
5	1	23	1	1	1	4230	3090	106	23	95.848160	SHEET
5	1	23	1	1	2	4358	3074	41	28	96.556999	22
2	1	24	0	0	0	4445	3136	52	54	-1	
3	1	24	1	0	0	4445	3136	52	54	-1	
4	1	24	1	1	0	4445	3136	52	54	-1	
5	1	24	1	1	1	4445	3136	52	54	88.591614	\
2	1	25	0	0	0	535	3208	59	28	-1	
3	1	25	1	0	0	535	3208	59	28	-1	
4	1	25	1	1	0	535	3208	59	28	-1	
5	1	25	1	1	1	535	3208	59	28	96.474533	132
2	1	26	0	0	0	1246	3208	54	28	-1	
3	1	26	1	0	0	1246	3208	54	28	-1	
4	1	26	1	1	0	1246	3208	54	28	-1	
5	1	26	1	1	1	1246	3208	54	28	96.095520	131
2	1	27	0	0	0	1946	3208	59	28	-1	
3	1	27	1	0	0	1946	3208	59	28	-1	
4	1	27	1	1	0	1946	3208	59	28	-1	
5	1	27	1	1	1	1946	3208	59	28	96.528938	130
2	1	28	0	0	0	2615	3208	59	28	-1	
3	1	28	1	0	0	2615	3208	59	28	-1	
4	1	28	1	1	0	2615	3208	59	28	-1	
5	1	28	1	1	1	2615	3208	59	28	96.878799	129
2	1	29	0	0	0	3360	3208	59	28	-1	
3	1	29	1	0	0	3360	3208	59	28	-1	
4	1	29	1	1	0	3360	3208	59	28	-1	
5	1	29	1	1	1	3360	3208	59	28	96.657234	128
2	1	30	0	0	0	4106	3208	59	28	-1	
3	1	30	1	0	0	4106	3208	59	28	-1	
4	1	30	1	1	0	4106	3208	59	28	-1	
5	1	30	1	1	1	4106	3208	59	28	96.409996	127
2	1	31	0	0	0	4211	3182	41	42	-1	
3	1	31	1	0	0	4211	3182	41	42	-1	
4	1	31	1	1	0	4211	3182	41	42	-1	
5	1	31	1	1	1	4211	3182	41	42	66.707306	\\
2	1	32	0	0	0	3793	3251	229	30	-1	
3	1	32	1	0	0	3793	3251	229	30	-1	
4	1	32	1	1	0	3793	3251	229	30	-1	
5	1	32	1	1	1	3793	3251	229	30	91.159149	EYEng/TS/8660
2	1	33	0	0	0	4100	3251	149	23	-1	
3	1	33	1	0	0	4100	3251	149	23	-1	
4	1	33	1	1	0	4100	3251	149	23	-1	
5	1	33	1	1	1	4100	3251	95	23	96.171021	ISSUE
5	1	33	1	1	2	4217	3251	32	23	96.658615	13
2	1	34	0	0	0	4352	3251	142	23	-1	
3	1	34	1	0	0	4352	3251	142	23	-1	
4	1	34	1	1	0	4352	3251	142	23	-1	
5	1	34	1	1	1	4352	3251	66	23	96.641045	DEC
5	1	34	1	1	2	4429	3251	65	23	96.641045	2021
