level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	4678	3307	-1	
2	1	1	0	0	0	589	215	677	37	-1	
3	1	1	1	0	0	589	215	677	37	-1	
4	1	1	1	1	0	589	215	677	37	-1	
5	1	1	1	1	1	589	215	325	37	95.992798	FABRICATION
5	1	1	1	1	2	948	215	318	37	96.264969	OPERATIONS
2	1	2	0	0	0	2966	223	188	35	-1	
3	1	2	1	0	0	2966	223	188	35	-1	
4	1	2	1	1	0	2966	223	188	35	-1	
5	1	2	1	1	1	2966	223	153	35	96.415649	TABLE
5	1	2	1	1	2	3140	223	14	35	96.415649	1
2	1	3	0	0	0	213	283	508	24	-1	
3	1	3	1	0	0	213	283	508	24	-1	
4	1	3	1	1	0	213	283	508	24	-1	
5	1	3	1	1	1	213	283	155	24	95.833481	INTERIOR
5	1	3	1	1	2	380	283	152	24	95.593086	PLACARD
5	1	3	1	1	3	545	283	160	24	92.345222	MATERIAL
5	1	3	1	1	4	718	289	3	18	92.345222	:
2	1	4	0	0	0	1129	277	553	24	-1	
3	1	4	1	0	0	1129	277	553	24	-1	
4	1	4	1	1	0	1129	277	553	24	-1	
5	1	4	1	1	1	1129	277	155	24	96.279938	GENERAL
5	1	4	1	1	2	1298	277	110	24	96.279938	NOTES
5	1	4	1	1	3	1420	277	246	24	93.266357	CONTINUATION
5	1	4	1	1	4	1679	283	3	18	89.437897	:
2	1	5	0	0	0	1186	317	498	20	-1	
3	1	5	1	0	0	1186	317	498	20	-1	
4	1	5	1	1	0	1186	317	498	20	-1	
5	1	5	1	1	1	1186	317	74	20	96.844978	PART
5	1	5	1	1	2	1270	317	122	20	96.678169	NUMBER
5	1	5	1	1	3	1401	317	59	20	96.988083	AND
5	1	5	1	1	4	1471	317	74	20	96.272415	PART
5	1	5	1	1	5	1555	317	129	20	96.078796	MARKING
2	1	6	0	0	0	1901	306	165	26	-1	
3	1	6	1	0	0	1901	306	165	26	-1	
4	1	6	1	1	0	1901	306	165	26	-1	
5	1	6	1	1	1	1901	306	60	26	94.361679	A/C
5	1	6	1	1	2	1974	306	92	26	95.258774	TYPE
2	1	7	0	0	0	3170	310	244	26	-1	
3	1	7	1	0	0	3170	310	244	26	-1	
4	1	7	1	1	0	3170	310	244	26	-1	
5	1	7	1	1	1	3170	310	244	26	96.184074	DESCRIPTION
2	1	8	0	0	0	3936	300	311	26	-1	
3	1	8	1	0	0	3936	300	311	26	-1	
4	1	8	1	1	0	3936	300	311	26	-1	
5	1	8	1	1	1	3936	300	202	26	96.481560	APPROVED
5	1	8	1	1	2	4153	300	94	26	96.511688	DATA
2	1	9	0	0	0	194	319	550	35	-1	
3	1	9	1	0	0	194	319	550	35	-1	
4	1	9	1	1	0	194	319	550	35	-1	
5	1	9	1	1	1	194	319	58	35	40.262661	C1_)
5	1	9	1	1	2	261	328	90	24	96.361374	VINYL,
5	1	9	1	1	3	362	328	37	20	96.898445	3M
5	1	9	1	1	4	410	328	94	20	91.400536	CLEAR
5	1	9	1	1	5	515	328	139	26	87.621117	(P64020A).
5	1	9	1	1	6	666	328	45	26	96.949852	[GN
5	1	9	1	1	7	722	328	22	26	96.810432	6]
2	1	10	0	0	0	1136	316	28	26	-1	
3	1	10	1	0	0	1136	316	28	26	-1	
4	1	10	1	1	0	1136	316	28	26	-1	
5	1	10	1	1	1	1136	316	28	26	94.861542	[5]
2	1	11	0	0	0	2282	308	424	34	-1	
3	1	11	1	0	0	2282	308	424	34	-1	
4	1	11	1	1	0	2282	308	424	34	-1	
5	1	11	1	1	1	2282	308	110	34	91.950706	EYEng
5	1	11	1	1	2	2408	308	160	26	91.570381	EWR/TR/
5	1	11	1	1	3	2580	308	126	26	96.039970	OTHER
2	1	12	0	0	0	1186	352	599	20	-1	
3	1	12	1	0	0	1186	352	599	20	-1	
4	1	12	1	1	0	1186	352	599	20	-1	
5	1	12	1	1	1	1186	352	173	20	96.536522	PLACEMENT
5	1	12	1	1	2	1368	352	56	20	96.212875	ARE
5	1	12	1	1	3	1436	352	106	20	95.472816	SHOWN
5	1	12	1	1	4	1561	352	37	20	94.784195	AS
5	1	12	1	1	5	1606	352	37	20	94.784195	AN
5	1	12	1	1	6	1655	352	130	20	95.167953	EXAMPLE
2	1	13	0	0	0	3817	335	545	34	-1	
3	1	13	1	0	0	3817	335	545	34	-1	
4	1	13	1	1	0	3817	335	545	34	-1	
5	1	13	1	1	1	3817	335	146	34	77.070419	(DC
5	1	13	1	1	2	3891	331	19	43	67.319473	/
5	1	13	1	1	3	3924	335	61	34	67.319473	MB/
5	1	13	1	1	4	4002	335	62	26	56.900505	PA/
5	1	13	1	1	5	4078	335	27	26	29.162262	El
5	1	13	1	1	6	4119	335	10	26	29.162262	/
5	1	13	1	1	7	4143	335	70	26	68.777962	EO/
5	1	13	1	1	8	4225	335	137	34	96.289619	OTHER)
2	1	14	0	0	0	194	363	769	35	-1	
3	1	14	1	0	0	194	363	769	35	-1	
4	1	14	1	1	0	194	363	769	35	-1	
5	1	14	1	1	1	194	363	58	35	82.154480	(2_)
5	1	14	1	1	2	262	372	90	20	90.020828	LEXAN
5	1	14	1	1	3	365	372	34	20	44.153477	FR
5	1	14	1	1	4	410	372	30	20	93.234116	65
5	1	14	1	1	5	451	372	135	26	87.810654	(P82889A)
5	1	14	1	1	6	596	384	8	2	93.240593	-
5	1	14	1	1	7	612	372	142	20	95.526695	ADHESIVE
5	1	14	1	1	8	764	372	37	20	95.568634	3M
5	1	14	1	1	9	812	372	151	20	95.568634	TRANSFER
2	1	15	0	0	0	262	401	697	26	-1	
3	1	15	1	0	0	262	401	697	26	-1	
4	1	15	1	1	0	262	401	697	26	-1	
5	1	15	1	1	1	262	401	80	24	92.701355	TAPE,
5	1	15	1	1	2	354	401	89	20	92.701355	468MP
5	1	15	1	1	3	453	401	38	20	96.286270	TO
5	1	15	1	1	4	502	401	34	20	96.711029	BE
5	1	15	1	1	5	548	401	55	20	96.778572	USE
5	1	15	1	1	6	613	401	71	20	92.639282	WITH
5	1	15	1	1	7	696	401	88	20	92.586235	LEXAN
5	1	15	1	1	8	797	401	73	20	71.702484	FR65.
