level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	842	595	-1	
2	1	1	0	0	0	33	39	809	555	-1	
3	1	1	1	0	0	32	36	810	558	-1	
4	1	1	1	1	0	534	39	33	7	-1	
5	1	1	1	1	1	534	39	33	7	0.000000	THELET
4	1	1	1	2	0	34	50	751	23	-1	
5	1	1	1	2	1	34	57	140	15	0.000000	Seeeeeeretwneme
5	1	1	1	2	2	190	46	7	35	0.000000	—
5	1	1	1	2	3	213	56	108	17	0.000000	aearneeenieene
5	1	1	1	2	4	331	50	53	18	0.000000	|
5	1	1	1	2	5	382	46	16	35	65.477280	|
5	1	1	1	2	6	410	55	76	7	0.000000	Sevemmone
5	1	1	1	2	7	570	55	44	5	13.879745	ae
5	1	1	1	2	8	687	53	27	14	40.373150	nS
5	1	1	1	2	9	722	45	63	33	0.000000	HERES
4	1	1	1	3	0	34	93	794	29	-1	
5	1	1	1	3	1	34	93	108	29	15.155487	Pe
5	1	1	1	3	2	204	96	113	17	8.861473	(pees
5	1	1	1	3	3	823	99	5	5	19.784538	°
4	1	1	1	4	0	34	135	286	11	-1	
5	1	1	1	4	1	34	139	138	7	12.245026	Beene
5	1	1	1	4	2	194	119	14	38	40.378529	|
5	1	1	1	4	3	213	135	107	9	0.000000	Sane
4	1	1	1	5	0	34	147	276	12	-1	
5	1	1	1	5	1	34	147	37	7	27.714874	a
5	1	1	1	5	2	204	154	5	5	43.943092	fs
5	1	1	1	5	3	213	147	97	12	0.000000	pererygrarertneceron
4	1	1	1	6	0	34	161	808	23	-1	
5	1	1	1	6	1	34	161	165	23	51.048836	—
5	1	1	1	6	2	816	167	26	1	49.760300	—
4	1	1	1	7	0	35	197	287	12	-1	
5	1	1	1	7	1	35	200	164	7	0.000000	oe
5	1	1	1	7	2	203	197	119	12	27.879730	ee
4	1	1	1	8	0	35	208	287	8	-1	
5	1	1	1	8	1	35	208	164	7	30.051659	see
4	1	1	1	9	0	35	222	793	16	-1	
5	1	1	1	9	1	35	222	34	4	13.231697	ae
5	1	1	1	9	2	84	228	106	5	0.000000	ewer
5	1	1	1	9	3	203	223	119	15	0.000000	ererarvns
5	1	1	1	9	4	329	228	27	5	18.402336	OEE
5	1	1	1	9	5	823	231	5	5	2.445343	°
4	1	1	1	10	0	130	237	508	17	-1	
5	1	1	1	10	1	130	240	26	4	29.262825	aie
5	1	1	1	10	2	187	226	49	32	13.928650	in|
5	1	1	1	10	3	248	226	57	32	18.141571	rome
5	1	1	1	10	4	328	237	6	11	63.213837	A
5	1	1	1	10	5	344	241	207	11	0.000000	garners
5	1	1	1	10	6	408	226	17	32	4.405869	mec
5	1	1	1	10	7	427	226	43	32	0.000000	sernacrn
5	1	1	1	10	8	483	226	33	32	5.242912	incom
5	1	1	1	10	9	518	226	30	32	0.000000	anmcic
5	1	1	1	10	10	555	241	83	5	0.000000	Tiietinemcit
4	1	1	1	11	0	131	250	381	17	-1	
5	1	1	1	11	1	131	250	58	17	0.000000	sacemereen,
5	1	1	1	11	2	206	246	17	25	7.510796	So
5	1	1	1	11	3	231	251	2	11	23.342194	|
5	1	1	1	11	4	234	251	88	11	0.000000	menstaeeiot
5	1	1	1	11	5	328	254	12	11	20.067818	|)
